,title,views,date_time,video_link,thumbnail_link
0,Three 90 Challenge | 1.5 Cr Refunded | GeeksforGeeks,728 views,1 day ago,/watch?v=28wXxweOOFM,https://i.ytimg.com/vi/28wXxweOOFM/hqdefault.jpg
1,From Tier 3 College to 20LPA Package 🤑 at Harman as a Senior Software Engineer | My Journey,2.2K views,3 days ago,/watch?v=cGPpUdaISGE,https://i.ytimg.com/vi/cGPpUdaISGE/hqdefault.jpg
2,How I Built an AirBnb Clone from Scratch | MERN Stack Project | GeeksforGeeks,1.1K views,4 days ago,/watch?v=koTBLYNq63I,https://i.ytimg.com/vi/koTBLYNq63I/hqdefault.jpg
3,"Master Web3 in 2024 (The Ultimate Roadmap) | Block Chain, Crypto Currency |",1.2K views,7 days ago,/watch?v=CKrM5ouILBg,https://i.ytimg.com/vi/CKrM5ouILBg/hqdefault.jpg
4,🚀 Do This to Learn DSA and Get a Job | *Free Resources Inside* | The Ultimate DSA Roadmap 📚,3.1K views,11 days ago,/watch?v=VdLUuIeuXqM,https://i.ytimg.com/vi/VdLUuIeuXqM/hqdefault.jpg
5,Learn Sorting in just 7 Hours with @SandeepJainGfG  | GeeksforGeeks,7.8K views,12 days ago,/watch?v=IsBMyMch0gw,https://i.ytimg.com/vi/IsBMyMch0gw/hqdefault.jpg
6,"IIT Grads reveal TOP PLACEMENT SECRETS 🤯 | Advice, Get Job in 2024, Salary, Roadmap, Life at IIT",9.4K views,2 weeks ago,/watch?v=HqqF_4yORKU,https://i.ytimg.com/vi/HqqF_4yORKU/hqdefault.jpg
7,I Went to the House of a Recent IIT BOMBAY Grad & AI Researcher at Sprinklr | House Invasion Ep-1🚀,12K views,2 weeks ago,/watch?v=xvBlkjtmvBc,https://i.ytimg.com/vi/xvBlkjtmvBc/hqdefault.jpg
8,Time and Space Complexity explained in literally 5 minutes | Big O | Concepts made simple ep -1,1.2K views,2 weeks ago,/watch?v=jOMxKsUd6e0,https://i.ytimg.com/vi/jOMxKsUd6e0/hqdefault.jpg
9,"JAVA Backend Live Classes | Master OOPs, Spring Boot & Practice with Projects | GeeksforGeeks",217K views,2 weeks ago,/watch?v=y5sN2D4Zkmo,https://i.ytimg.com/vi/y5sN2D4Zkmo/hqdefault.jpg
10,How to participate and win any Hackathon - A Complete Guide | What are Hackathons? | Top 5 Hackathon,2.9K views,3 weeks ago,/watch?v=_yNtUwnvHio,https://i.ytimg.com/vi/_yNtUwnvHio/hqdefault.jpg
11,Do this to get a 15+ LPA job right after BCA!! | BCA VS BTECH | Is BCA worth it in 2024?,1.9K views,3 weeks ago,/watch?v=w95555WsTMI,https://i.ytimg.com/vi/w95555WsTMI/hqdefault.jpg
12,Happening this Month at GeeksforGeeks Noida Center! | GfG Offline Classes,557 views,3 weeks ago,/watch?v=ZTvTaINuLGk,https://i.ytimg.com/vi/ZTvTaINuLGk/hqdefault.jpg
13,GeeksforGeeks Full Stack LIVE Classes | With Projects | Learn Full Stack Development in 14 Weeks,46K views,3 weeks ago,/watch?v=G5lsLsK9evc,https://i.ytimg.com/vi/G5lsLsK9evc/hqdefault.jpg
14,Do this to crack Placements in just 30 days | *Free Resources*,20K views,3 weeks ago,/watch?v=zicelfDj-i8,https://i.ytimg.com/vi/zicelfDj-i8/hqdefault.jpg
15,💸 How to become a Graphic Designer in 2024? | Complete Graphic Designer Roadmap,811 views,3 weeks ago,/watch?v=GF2CQAP4Va0,https://i.ytimg.com/vi/GF2CQAP4Va0/hqdefault.jpg
16,DYNAMIC PROGRAMMING PRACTICE PROBLEM | DSA Course | GeeksforGeeks,1.1K views,1 month ago,/watch?v=5Bfjt3oY564,https://i.ytimg.com/vi/5Bfjt3oY564/hqdefault.jpg
17,Can these College students win 6000rs by answering easy coding questions?| GeeksforGeeks Premium,1.6K views,1 month ago,/watch?v=JtLJyMeHxLk,https://i.ytimg.com/vi/JtLJyMeHxLk/hqdefault.jpg
18,Create a 3D AI Website using Three.js | Frontend Projects | GeeksforGeeks,2K views,1 month ago,/watch?v=rq67tD6OYXc,https://i.ytimg.com/vi/rq67tD6OYXc/hqdefault.jpg
19,React Native VS Flutter | I analysed the app development market for both,1.6K views,1 month ago,/watch?v=2keMefdv9s4,https://i.ytimg.com/vi/2keMefdv9s4/hqdefault.jpg
